date,volcano,product,value,baseline,zscore,severity,detected_at
2023-11-04T14:37:41,Villarrica,swir,79.0,0.1,157.8,red,2026-05-10T07:50:57.786570+00:00
2023-11-24T14:37:41,Villarrica,swir,79.0,0.1,157.8,red,2026-05-10T07:50:57.786570+00:00
2025-08-05T18:33:23,Lascar,so2,78.3,0.1,156.4,red,2026-05-10T07:50:57.786570+00:00
2020-10-14T18:49:32,Planchon-Peteroa,so2,78.3,0.1,156.4,red,2026-05-10T07:50:57.786570+00:00
2022-12-01T19:01:04,Villarrica,so2,78.2,0.1,156.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2021-08-13T19:06:29,Copahue,so2,75.8,0.1,151.4,red,2026-05-10T07:50:57.786570+00:00
2025-12-16T18:41:53,Lascar,so2,75.1,0.1,150.0,red,2026-05-10T07:50:57.786570+00:00
2023-06-24T14:27:21,Nevados de Chillan,swir,75.0,0.1,149.8,red,2026-05-10T07:50:57.786570+00:00
2026-02-19T18:24:34,Lascar,so2,74.7,0.1,149.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2025-07-17T17:48:23,Lascar,so2,73.7,0.1,147.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2021-10-08T18:18:30,Copahue,so2,73.1,0.1,146.0,red,2026-05-10T07:50:57.786570+00:00
2023-12-31T18:55:00,Villarrica,so2,73.1,0.1,146.0,red,2026-05-10T07:50:57.786570+00:00
2026-03-09T17:46:27,Lascar,so2,72.5,0.1,144.8,red,2026-05-10T07:50:57.786570+00:00
2021-07-11T17:52:32,Lascar,so2,71.7,0.1,143.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2021-10-18T18:32:10,Copahue,so2,70.8,0.1,141.4,red,2026-05-10T07:50:57.786570+00:00
2025-04-15T18:31:30,Lascar,so2,70.2,0.1,140.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-02-15T17:43:09,Lascar,so2,70.1,0.1,140.0,red,2026-05-10T07:50:57.786570+00:00
2022-02-05T17:32:14,Lascar,so2,67.7,0.1,135.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2023-01-13T18:58:59,Villarrica,so2,67.7,0.1,135.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-02-14T18:03:10,Lascar,so2,66.8,0.1,133.4,red,2026-05-10T07:50:57.786570+00:00
2022-02-17T18:48:10,Lascar,so2,66.3,0.1,132.4,red,2026-05-10T07:50:57.786570+00:00
2023-08-26T18:39:43,Villarrica,so2,65.4,0.1,130.60000000000002,red,2026-05-10T07:50:57.786570+00:00
2022-02-24T18:16:52,Lascar,so2,65.0,0.1,129.8,red,2026-05-10T07:50:57.786570+00:00
2023-07-04T14:27:21,Nevados de Chillan,swir,65.0,0.1,129.8,red,2026-05-10T07:50:57.786570+00:00
2023-03-26T18:09:16,Villarrica,so2,64.8,0.1,129.4,red,2026-05-10T07:50:57.786570+00:00
2020-10-30T18:48:33,Planchon-Peteroa,so2,64.7,0.1,129.20000000000002,red,2026-05-10T07:50:57.786570+00:00
2023-10-13T18:37:03,Villarrica,so2,63.8,0.1,127.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2024-05-18T18:46:56,Villarrica,so2,61.9,0.1,123.6,red,2026-05-10T07:50:57.786570+00:00
2021-10-03T18:13:30,Copahue,so2,61.8,0.1,123.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2026-03-14T17:51:23,Lascar,so2,60.4,0.1,120.6,red,2026-05-10T07:50:57.786570+00:00
2022-04-23T18:27:50,Lascar,so2,59.6,0.1,119.0,red,2026-05-10T07:50:57.786570+00:00
2020-01-14T17:51:02,Lascar,so2,59.2,0.1,118.2,red,2026-05-10T07:50:57.786570+00:00
2023-01-04T18:28:59,Lascar,so2,58.9,0.1,117.6,red,2026-05-10T07:50:57.786570+00:00
2023-10-22T14:27:11,Villarrica,swir,58.0,0.1,115.8,red,2026-05-10T07:50:57.786570+00:00
2021-09-07T17:57:03,Copahue,so2,57.4,0.1,114.6,red,2026-05-10T07:50:57.786570+00:00
2021-09-09T19:02:04,Copahue,so2,56.3,0.1,112.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2021-08-24T19:01:29,Copahue,so2,56.2,0.1,112.2,red,2026-05-10T07:50:57.786570+00:00
2023-10-02T14:27:11,Nevados de Chillan,swir,56.0,0.1,111.8,red,2026-05-10T07:50:57.786570+00:00
2023-11-21T14:27:11,Villarrica,swir,56.0,0.1,111.8,red,2026-05-10T07:50:57.786570+00:00
2026-03-27T18:47:23,Lascar,so2,55.7,0.1,111.2,red,2026-05-10T07:50:57.786570+00:00
2025-08-03T17:28:23,Lascar,so2,55.4,0.1,110.6,red,2026-05-10T07:50:57.786570+00:00
2023-11-09T14:37:29,Villarrica,swir,55.0,0.1,109.8,red,2026-05-10T07:50:57.786570+00:00
2025-04-22T17:56:31,Lascar,so2,54.6,0.1,109.0,red,2026-05-10T07:50:57.786570+00:00
2023-03-22T19:24:17,Villarrica,so2,52.4,0.1,104.6,red,2026-05-10T07:50:57.786570+00:00
2026-04-03T18:17:23,Lascar,so2,52.1,0.1,104.0,red,2026-05-10T07:50:57.786570+00:00
2023-09-20T14:37:29,Villarrica,swir,52.0,0.1,103.8,red,2026-05-10T07:50:57.786570+00:00
2025-05-12T18:21:56,Lascar,so2,51.8,0.1,103.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-11-08T18:50:43,Villarrica,so2,51.8,0.1,103.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2022-10-23T17:59:02,Lascar,so2,51.5,0.1,102.8,red,2026-05-10T07:50:57.786570+00:00
2020-10-11T18:04:31,Copahue,so2,48.4,0.1,96.6,red,2026-05-10T07:50:57.786570+00:00
2022-12-15T18:03:59,Lascar,so2,48.0,0.1,95.8,red,2026-05-10T07:50:57.786570+00:00
2024-01-08T18:03:20,Villarrica,so2,46.9,0.1,93.6,red,2026-05-10T07:50:57.786570+00:00
2025-11-23T19:09:29,Planchon-Peteroa,so2,43.7,0.1,87.2,red,2026-05-10T07:50:57.786570+00:00
2021-04-02T19:01:03,Villarrica,so2,42.8,0.1,85.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-12-07T18:07:51,Villarrica,so2,41.3,0.1,82.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-10-10T14:37:29,Villarrica,swir,41.0,0.1,81.8,red,2026-05-10T07:50:57.786570+00:00
2025-09-30T17:39:45,Planchon-Peteroa,so2,40.6,0.1,81.0,red,2026-05-10T07:50:57.786570+00:00
2021-09-02T17:52:03,Copahue,so2,40.3,0.1,80.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2020-10-12T19:29:31,Copahue,so2,39.9,0.1,79.6,red,2026-05-10T07:50:57.786570+00:00
2020-11-09T19:01:20,Copahue,so2,39.8,0.1,79.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-10-15T14:37:21,Villarrica,swir,39.0,0.1,77.8,red,2026-05-10T07:50:57.786570+00:00
2020-10-15T18:29:32,Planchon-Peteroa,so2,38.6,0.1,77.0,red,2026-05-10T07:50:57.786570+00:00
2022-12-14T18:24:00,Lascar,so2,38.2,0.1,76.2,red,2026-05-10T07:50:57.786570+00:00
2023-10-20T14:37:29,Villarrica,swir,38.0,0.1,75.8,red,2026-05-10T07:50:57.786570+00:00
2023-09-25T14:37:31,Villarrica,swir,36.0,0.1,71.8,red,2026-05-10T07:50:57.786570+00:00
2026-02-21T17:44:54,Lascar,so2,35.0,0.1,69.8,red,2026-05-10T07:50:57.786570+00:00
2023-11-14T14:37:41,Villarrica,swir,35.0,0.1,69.8,red,2026-05-10T07:50:57.786570+00:00
2021-05-28T14:37:31,Planchon-Peteroa,swir,34.0,0.1,67.8,red,2026-05-10T07:50:57.786570+00:00
2021-07-02T14:37:29,Copahue,swir,34.0,0.1,67.8,red,2026-05-10T07:50:57.786570+00:00
2024-01-14T19:32:46,Villarrica,so2,33.8,0.1,67.39999999999999,red,2026-05-10T07:50:57.786570+00:00
2023-08-06T14:37:31,Villarrica,swir,33.0,0.1,65.8,red,2026-05-10T07:50:57.786570+00:00
2023-10-17T14:27:19,Villarrica,swir,33.0,0.1,65.8,red,2026-05-10T07:50:57.786570+00:00
2025-10-18T18:42:52,Lascar,so2,32.7,0.1,65.2,red,2026-05-10T07:50:57.786570+00:00
2025-10-13T18:32:53,Planchon-Peteroa,so2,32.6,0.1,65.0,red,2026-05-10T07:50:57.786570+00:00
2023-07-12T14:37:29,Villarrica,swir,31.0,0.1,61.8,red,2026-05-10T07:50:57.786570+00:00
2025-10-18T18:42:52,Planchon-Peteroa,so2,30.6,0.1,61.0,red,2026-05-10T07:50:57.786570+00:00
2020-10-09T18:44:31,Copahue,so2,30.3,0.1,60.4,red,2026-05-10T07:50:57.786570+00:00
2026-02-18T18:39:33,Lascar,so2,30.1,0.1,60.0,red,2026-05-10T07:50:57.786570+00:00
2026-05-21T18:16:04,Planchon-Peteroa,so2,30.0,0.1,59.8,red,2026-06-07T11:31:24.629952+00:00
2020-01-25T17:46:02,Lascar,so2,28.9,0.1,57.599999999999994,red,2026-05-10T07:50:57.786570+00:00
2024-06-18T14:27:21,Nevados de Chillan,swir,28.0,0.1,55.8,red,2026-05-10T07:50:57.786570+00:00
2023-01-21T18:13:00,Lascar,so2,27.8,0.1,55.4,red,2026-05-10T07:50:57.786570+00:00
2022-11-06T18:32:49,Lascar,so2,27.2,0.1,54.199999999999996,red,2026-05-10T07:50:57.786570+00:00
2026-04-04T17:56:02,Lascar,so2,27.2,0.1,54.199999999999996,red,2026-05-10T07:50:57.786570+00:00
2025-02-21T14:37:49,Lascar,swir,27.0,0.1,53.8,red,2026-05-10T07:50:57.786570+00:00
2022-12-03T18:30:54,Lascar,so2,26.7,0.1,53.199999999999996,red,2026-05-10T07:50:57.786570+00:00
2026-02-27T17:34:55,Lascar,so2,26.7,0.1,53.199999999999996,red,2026-05-10T07:50:57.786570+00:00
2021-09-26T18:44:19,Copahue,so2,26.5,0.1,52.8,red,2026-05-10T07:50:57.786570+00:00
